domain,v,p,pct,rua,ruf,sp,fo,rf,adkim,aspf,ri
_dmarc.milwaukeetool.eu.,DMARC1,none,100,mailto:dmarc@mailinblue.com!10m,mailto:dmarc@mailinblue.com!10m,none,default,afrf,default,default,86400
_dmarc.ms2soft.com.,DMARC1,none,default,mailto:dmarc-admin@ms2soft.com,mailto:dmarc-admin@ms2soft.com,default,1,default,default,default,default
_dmarc.museumca.org.,DMARC1,quarantine,default,mailto:dmarc-reports@museumca.org,default,default,default,default,default,default,default
_dmarc.mybestbrands.de.,DMARC1,none,100,"mailto:re+sdrxfgp1mb1@dmarc.postmarkapp.com,mailto:re+ynd9ar2uxal@dmarc.postmarkapp.com",default,none,default,default,default,r,default
_dmarc.mycostalearning.com.,DMARC1,quarantine,default,default,default,default,default,default,default,default,default
_dmarc.myeecu.org.,spf1 ip4:64.166.54.105 ip4:64.166.54.107 -all,default,default,default,default,default,default,default,default,default,default
_dmarc.myhartfordbenefits.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.myt.mu.,DMARC1,none,default,mailto:mailauth-reports@myt.mu,mailto:mailauth-reports@myt.mu,quarantine,default,default,default,default,default
_dmarc.newworldfans.com.,DMARC1,none,default,mailto:admin@newworldfans.com,default,default,1,default,default,default,default
_dmarc.ni.net.tr.,DMARC1,none,100,mailto:abuse@ni.net.tr,mailto:abuse@ni.net.tr,none,default,afrf,default,default,86400
_dmarc.nicecursor.com.,DMARC1,none,default,mailto:fbe3e7028b504490b575106cd73c1c99@dmarc-reports.cloudflare.net,default,default,default,default,default,default,default
_dmarc.nielsenmedia.com.,DMARC1,quarantine,default,mailto:dmarcian.aggregate@nielsenmedia.com,mailto:dmarcian.forensic@nielsenmedia.com,reject,1,default,default,default,default
_dmarc.nodeping.com.,DMARC1,none,default,mailto:dmarkreports@nodeping.com,mailto:dmarkreports@nodeping.com,none,default,default,r,r,default
_dmarc.online-schools-82095.bond.,spf1 -all,default,default,default,default,default,default,default,default,default,default
_dmarc.osapiens.cloud.,DMARC1,none,default,default,default,default,1,default,default,default,default
_dmarc.outbankapp.com.,DMARC1,none,default,mailto:dmarc@outbankapp.com,default,default,default,default,default,default,default
_dmarc.padmapper.com.,DMARC1,reject,default,mailto:1rqs8yc4@ag.us.dmarcian.com,mailto:1rqs8yc4@fr.us.dmarcian.com,default,1,default,default,default,default
_dmarc.parivahan.gov.in.,DMARC1,reject,default,default,default,default,default,default,default,default,default
_dmarc.paybyphone.co.uk.,DMARC1,quarantine,0,mailto:dmarc.reports@paybyphone.com,mailto:dmarc.reports@paybyphone.com,default,1,default,default,default,default
_dmarc.pingodoce.pt.,DMARC1,quarantine,default,mailto:dmarc@pingodoce.pt,default,default,default,default,default,default,default
_dmarc.plansee-group.com.,DMARC1,quarantine,100,mailto:postmaster@plansee-group.com,mailto:postmaster@plansee-group.com,default,default,default,default,default,default
_dmarc.plumbworld.co.uk.,DMARC1,none,default,default,mailto:dmarcreports@plumbworld.co.uk,default,default,default,default,default,default
_dmarc.polywood.com.,DMARC1,reject,100,mailto:dmarcreports@polywood.com,mailto:dmarcreports@polywood.com,default,default,default,r,r,default
_dmarc.ppi.com.,DMARC1,quarantine,default,mailto:techsupport@ppi.com,mailto:techsupport@ppi.com,default,default,default,default,default,default
_dmarc.prgmr.com.,DMARC1,reject,default,mailto:postmaster@prgmr.com,default,default,default,default,s,s,default
_dmarc.proemion.com.,DMARC1,none,100,mailto:dmarc-rua@proemion.com,mailto:dmarc-ruf@proemion.com,default,default,default,default,default,default
_dmarc.protractor.com.,DMARC1,quarantine,100,mailto:62c4a846b9200@ag.dmarcly.com,mailto:62c4a846b9200@fo.dmarcly.com,reject,0:1:d:s,default,default,default,default
_dmarc.pterodactyl.io.,DMARC1,reject,100,mailto:re+d1xj7rijzqe@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.raysafe.com.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.redcalidad.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.renren.com.,DMARC1,quarantine,default,mailto:dmarc_report@qiye.163.com,mailto:dmarc@qiye.163.com,default,1,default,default,default,default
_dmarc.retptgroup.com.,DMARC1,reject,default,mailto:0ad0b189a436922@rep.dmarcanalyzer.com,mailto:0ad0b189a436922@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.rexlander.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.rhinofleettracking.com.,DMARC1,none,100,mailto:re+hg7dnjqaaov@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.richelieu.com.,DMARC1,reject,100,mailto:richelieu@rua.dmp.cisco.com,mailto:richelieu@ruf.dmp.cisco.com,default,1,default,default,default,3600
_dmarc.rightnewswire.com.,DMARC1,reject,default,"mailto:nxzjq-8780@rua.dmarc.emailanalyst.com,mailto:eyjt8igg@ag.dmarcian.com",mailto:nxzjq-8780@ruf.dmarc.emailanalyst.com,reject,default,default,default,default,default
_dmarc.romarg.com.,DMARC1,reject,100,default,default,default,default,default,s,s,default
_dmarc.salesflare.com.,DMARC1,quarantine,100,mailto:re+d9snxy2plny@dmarc.postmarkapp.com,mailto:developers@salesflare.com,reject,default,default,default,r,default
_dmarc.salisburyjournal.co.uk.,DMARC1,none,default,mailto:61e7fc8674b33@ag.eu.dmarcly.com,mailto:61e7fc8674b33@fo.eu.dmarcly.com,none,default,default,default,default,default
_dmarc.satu.kz.,DMARC1,none,100,mailto:postmaster@satu.kz,mailto:postmaster@satu.kz,reject,1,default,r,r,604800
_dmarc.saweria.co.,DMARC1,quarantine,default,mailto:admin@saweria.co,default,default,1,default,default,default,default
_dmarc.schoolpace.com.,DMARC1,quarantine,50,default,default,default,default,default,r,r,default
_dmarc.sdu.nl.,DMARC1,none,default,mailto:abuse@sdu.nl,mailto:abuse@sdu.nl,default,d,default,default,default,default
_dmarc.securevideo.com.,DMARC1,none,default,mailto:f1622844d503870@rep.dmarcanalyzer.com,mailto:f1622844d503870@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.sered.net.,DMARC1,reject,100,mailto:dmarc@sered.net,mailto:dmarc@sered.net,default,1,default,default,default,default
_dmarc.shopping.com.,DMARC1,reject,100,"mailto:ebay@rua.agari.com,mailto:dmarc_agg@auth.returnpath.net","mailto:ebay@ruf.agari.com,mailto:dmarc_afrf@auth.returnpath.net",default,1,afrf,default,default,default
_dmarc.skyfii.com.,DMARC1,none,default,mailto:dmarc@skyfii.com,mailto:dmarc@skyfii.com,default,0:1:d:s,default,default,default,default
_dmarc.smartpress.com.,DMARC1,none,default,mailto:97c6b102@mxtoolbox.dmarc-report.com,mailto:97c6b102@forensics.dmarc-report.com,default,default,default,default,r,default
_dmarc.somepythonthings.tk.,spf1 -all,default,default,default,default,default,default,default,default,default,default
_dmarc.spiderprobe.com.,spf1 -all,default,default,default,default,default,default,default,default,default,default
_dmarc.spritmonitor.de.,DMARC1,reject,default,default,default,default,default,default,s,s,default
_dmarc.starbucks.com.br.,DMARC1,none,default,mailto:aggrep@starbucks.com,mailto:authfail@starbucks.com,default,1,default,default,default,default
_dmarc.starone.org.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.storageunitsoftware.com.,DMARC1,none,100,mailto:ipm3k9g@ar.glockapps.com,mailto:ipm3k9g@fr.glockapps.com,default,1,default,default,default,default
_dmarc.sugarfina.com.,DMARC1,none,default,mailto:0rpcegqd@ag.dmarcian.com,mailto:0rpcegqd@fr.dmarcian.com,default,default,default,default,default,default
_dmarc.supplieroasis.com.,DMARC1,reject,default,mailto:dmarc_agg@overstock.com,mailto:dmarc_afrf@overstock.com,none,1,default,default,default,default
_dmarc.suspected-fraud.info.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.syhapp.com.,DMARC1,none,default,mailto:infosec@systemc.com,mailto:infosec@systemc.com,default,1,default,default,default,default
_dmarc.tentree.com.,DMARC1,none,default,mailto:devon@tentree.com,default,default,default,default,default,default,default
_dmarc.thaifriendly.com.,DMARC1,reject,100,mailto:re+4cb324cd50c8@inbound.dmarcdigests.com,default,default,default,default,default,default,default
_dmarc.thycotic.com.,DMARC1,reject,100,mailto:emailadmin@thycotic.com,mailto:emailadmin@thycotic.com,reject,1,default,default,default,default
_dmarc.tmnewa.com.tw.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.todaysplan.com.au.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.tracker-rms.com.,DMARC1,quarantine,default,mailto:623b3c41@mxtoolbox.dmarc-report.com,mailto:623b3c41@forensics.dmarc-report.com,default,1,default,default,default,default
_dmarc.tradingpaints.com.,DMARC1,none,default,mailto:dmarcreports@tradingpaints.com,mailto:dmarcreports@tradingpaints.com,none,default,default,default,default,default
_dmarc.trans-siberian.com.,DMARC1,none,100,mailto:re+b03jcpk7qlp@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.trifle.net.,DMARC1,quarantine,default,mailto:dmarc@trifle.net,mailto:dmarc@trifle.net,quarantine,d,default,s,default,86400
_dmarc.trustedtours.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.tryterra.co.,DMARC1,none,100,"mailto:postmaster@tryterra.co, mailto:dmarc@tryterra.co",default,default,default,default,r,r,default
_dmarc.tymobeauty.com.,spf1 include:mailgun.org ~all,default,default,default,default,default,default,default,default,default,default
_dmarc.unikom.ac.id.,DMARC1,quarantine,default,mailto:webmaster@unikom.ac.id,mailto:webmaster@unikom.ac.id,quarantine,1,default,r,r,86400
_dmarc.unitybyhardrock.com.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.upp.com.,DMARC1,quarantine,default,default,default,default,default,default,default,default,default
_dmarc.vandal.net.,DMARC1,none,default,mailto:fallido@vandal.net,default,default,default,default,default,default,default
_dmarc.visa.com.ms.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.visaplatinum.fr.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.vokino.tv.,DMARC1,quarantine,default,default,default,default,default,default,default,default,default
_dmarc.whitemtn.com.,DMARC1,quarantine,100,mailto:dmarc@whitemtn.com,mailto:dmarc_reports@whitemtn.com,quarantine,1,default,s,s,86400
_dmarc.wisetechglobal.com.,DMARC1,reject,default,"mailto:dmarc_agg@vali.email,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc@wisetechglobal.com","mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc@wisetechglobal.com",default,1,default,default,default,default
_dmarc.wmail-cdn.xyz.,DMARC1,reject,default,default,default,reject,default,default,s,s,default
_dmarc.wonderlic.com.,DMARC1,quarantine,default,mailto:devops@wonderlic.com,mailto:devops@wonderlic.com,default,default,default,default,default,default
_dmarc.wpserveur.net.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.xgimi.com.,DMARC1,none,default,mailto:mailauth-reports@qq.com,default,default,default,default,default,default,default
_dmarc.yourtherapysource.com.,DMARC1,none,100,mailto:dmarc@mailinblue.com!10m,mailto:dmarc@mailinblue.com!10m,none,default,afrf,default,default,86400
_dmarc.zbstatic1.com.,default,default,default,default,default,default,default,default,default,default,default
_dmarc.zoll.com.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.1800gotjunk.com.,DMARC1,none,default,mailto:m6kbtfgs@ag.dmarcian.com,mailto:m6kbtfgs@fr.dmarcian.com,default,default,default,default,default,default
_dmarc.aboutyou.bg.,DMARC1,quarantine,100,mailto:dmarc@aboutyou.com,mailto:dmarc@aboutyou.com,default,1,default,default,default,default
_dmarc.accesscomm.ca.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.acems2.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.acspubs.org.,DMARC1,none,default,mailto:chemical-abstracts-service@rua.dmp.cisco.com,mailto:chemical-abstracts-service@ruf.dmp.cisco.com,default,1,default,default,default,3600
_dmarc.adaio.es.,DMARC1,none,default,mailto:r8hzaqk6@ag.eu.dmarcian.com,default,default,default,default,default,default,default
_dmarc.allbarone.co.uk.,DMARC1,quarantine,100,mailto:a96dccc25988991@rep.dmarcanalyzer.com,mailto:a96dccc25988991@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.alrajhibank.com.sa.,DMARC1,quarantine,5,mailto:rua@sa.dmarc360.com,default,default,default,default,default,default,default
_dmarc.altusgroup.com.,DMARC1,none,default,mailto:dmarc-agg_report@altusgroup.com,mailto:dmarc-for_report@altusgroup.com,none,1,default,r,r,default
_dmarc.apap.com.do.,DMARC1,quarantine,default,mailto:VDMARC@apap.com.do,default,default,default,default,default,default,default
_dmarc.applineads.com.,DMARC1,reject,default,default,default,reject,default,default,s,s,default
_dmarc.apteka911.ua.,DMARC1,quarantine,10,mailto:postmaster@lll.org.ua,mailto:postmaster@lll.org.ua,none,1,default,r,r,86400
_dmarc.asap.gov.,DMARC1,reject,default,"mailto:us-treasury@rua.dmp.cisco.com,mailto:reports@dmarc.cyber.dhs.gov",mailto:us-treasury@ruf.dmp.cisco.com,default,1,default,default,default,default
_dmarc.assouline.com.,DMARC1,none,100,mailto:dmarc@assouline.com,default,default,1,default,default,default,default
_dmarc.atm-plushome.com.,spf1 include:spf-ns.a-tm.co.jp ~all,default,default,default,default,default,default,default,default,default,default
_dmarc.att.ne.jp.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.attendanywhere.com.,DMARC1,quarantine,default,"mailto:dmarc-report@attendanywhere.com, mailto:kwfcjcs9@ag.dmarcian.com",default,default,default,default,default,default,default
_dmarc.auctioneersoftware.com.,DMARC1,quarantine,default,default,default,default,default,default,default,default,default
_dmarc.avax-test.network.,DMARC1,quarantine,default,"mailto:admin@avax.network,mailto:avalabs@rua.netcraft.com",default,quarantine,default,default,default,default,default
_dmarc.banking-alerts.info.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.bankspower.com.,DMARC1,none,default,default,mailto:rgrumet@bankspower.com,default,1,default,default,default,default
_dmarc.betnow.eu.,DMARC1,none,default,mailto:it@roimax.cr,mailto:it@roimax.cr,default,default,default,default,default,default
_dmarc.biztree.com.,DMARC1,quarantine,100,default,default,default,1,default,default,default,default
_dmarc.bluebeamstudio.de.,DMARC1,quarantine,100,default,default,default,1,default,default,default,default
_dmarc.bonial.fr.,DMARC1,quarantine,100,default,default,default,default,default,default,default,default
_dmarc.bosch-thermotechnology.com.,DMARC1,reject,default,mailto:dmarc@bosch-thermotechnology.com,default,default,default,default,default,default,default
_dmarc.bp-service-support.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.breakthroughenergy.org.,DMARC1,reject,100,default,default,default,default,default,r,r,default
_dmarc.breezeline.com.,DMARC1,none,100,mailto:dmarc.report@breezeline.com,default,none,1,default,r,r,86400
_dmarc.bubbl.us.,DMARC1,reject,100,default,default,default,default,default,default,default,default
_dmarc.bundesregierung.de.,DMARC1,none,default,mailto:dmarc-reports@babiel.net,mailto:dmarc-reports@babiel.net,none,1,default,default,default,default
_dmarc.buyrexroth.com.,DMARC1,none,default,mailto:dmarc@buyrexroth.com,mailto:dmarc@buyrexroth.com,default,1,default,default,default,default
_dmarc.cambridgeassociates.com.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.certedrive.com.,DMARC1,reject,100,mailto:dmarc_agg@vali.email,mailto:devops+dmarc@certedrive.com,default,1,default,default,default,default
_dmarc.certifyos.com.,DMARC1,quarantine,90,default,default,none,default,default,default,default,default
_dmarc.chemist-4-u.com.,DMARC1,none,100,mailto:dmarc@chemist-4-u.com!10m,mailto:dmarc@chemist-4-u.com!10m,none,default,afrf,default,default,86400
_dmarc.classful.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.cleanersupply.com.,DMARC1,none,100,mailto:re+lqgzkc2ovvh@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.clickhouse.com.,DMARC1,none,default,mailto:security@clickhouse.com,default,default,default,default,default,default,default
_dmarc.coding.net.,DMARC1,quarantine,default,mailto:mailauth-reports@qq.com,default,default,default,default,default,default,default
_dmarc.comap.cz.,DMARC1,none,5,mailto:reports.dmarc@comap-control.com,default,none,default,default,default,default,default
_dmarc.corvel.com.,DMARC1,quarantine,100,"mailto:dmarc_ruf@corvel.com,mailto:dmarc_ruf@emaildefense.proofpoint.com","mailto:dmarc_rua@corvel.com,mailto:dmarc_rua@emaildefense.proofpoint.com",default,1,default,r,r,default
_dmarc.cosmopolitan.com.hk.,DMARC1,reject,100,default,default,default,default,afrf,s,r,default
_dmarc.crowdfiber.io.,DMARC1,quarantine,default,mailto:ltpfhtcd@ag.us.dmarcian.com,default,default,default,default,default,default,default
_dmarc.curriculog.com.,default,default,default,default,default,default,default,default,default,default,default
_dmarc.das-studio.de.,DMARC1,reject,100,default,default,default,default,default,default,default,default
_dmarc.datacredito.com.co.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,none,1,default,default,default,default
_dmarc.decibelads.com.,DMARC1,quarantine,90,mailto:lance@decibelads.com,default,none,default,default,default,default,default
_dmarc.defencereview.gr.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.detroitmi.gov.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.diamondresorts.com.,DMARC1,quarantine,100,mailto:DMARCReports@diamondresorts.com,default,none,0,afrf,r,r,86400
_dmarc.disig.sk.,DMARC1,reject,default,default,default,quarantine,default,default,default,default,default
_dmarc.diversesolutions.com.,DMARC1,none,default,mailto:4f769ec6@mxtoolbox.dmarc-report.com,mailto:4f769ec6@forensics.dmarc-report.com,default,1,default,default,default,default
_dmarc.dnb.nl.,DMARC1,quarantine,100,mailto:dmarc@dnb.nl,mailto:dmarc@dnb.nl,default,1,default,default,default,default
_dmarc.drinkolipop.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.drmartypets.com.,DMARC1,quarantine,100,mailto:dmarcreports@drmartypets.com,mailto:dmarcreports@drmartypets.com,default,1,default,default,default,default
_dmarc.dts.mg.,DMARC1,quarantine,default,mailto:dmarc@stellar-ix.com,mailto:dmarc@stellar-ix.com,default,1,default,default,default,default
_dmarc.dundee.ac.uk.,DMARC1,none,100,"mailto:D3xWowVdLUK@dmarc-rua.mailcheck.service.ncsc.gov.uk,mailto:re+xmdwuidsrma@dmarc.postmarkapp.com,mailto:dmarc-notify@dundee.ac.uk",mailto:dmarc-ruf@dundee.ac.uk,none,1,default,default,r,default
_dmarc.e-comms.net.,DMARC1,reject,100,default,default,default,default,default,default,default,default
_dmarc.edgewatch.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.edsurge.com.,DMARC1,reject,100,mailto:dmarc@edsurge.com!10m,mailto:dmarc@edsurge.com!10m,none,default,afrf,default,default,86400
_dmarc.ellos.se.,DMARC1,reject,default,mailto:dmarc_agg@vali.email,default,default,default,default,default,default,default
_dmarc.emcor.net.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.emersya.com.,DMARC1,quarantine,100,mailto:admin@emersya.com!10m,mailto:admin@emersya.com!10m,quarantine,default,afrf,default,default,86400
_dmarc.emsend3.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.enetpulse.com.,DMARC1,quarantine,100,mailto:servers@enetpulse.com,mailto:servers@enetpulse.com,default,default,default,default,default,604800
_dmarc.extrastaff.com.,DMARC1,quarantine,25,mailto:no-reply@extrastaff.com,default,default,default,default,default,default,default
_dmarc.feralinteractive.com.,DMARC1,none,default,mailto:postmaster@feralinteractive.com,default,default,default,default,default,default,default
_dmarc.fingerprint.com.,DMARC1,reject,100,mailto:re+dbvyz5ugbfu@dmarc.postmarkapp.com,default,reject,default,default,default,r,default
_dmarc.fna.gov.co.,DMARC1,quarantine,100,mailto:fnahco_rua@dm.easysol.net,mailto:fnahco_ruf@dm.easysol.net,default,1,default,default,default,86400
_dmarc.focus360.com.,DMARC1,none,100,"mailto:6648942236@rua.easydmarc.us,mailto:itadmin@focus360.com",mailto:6648942236@ruf.easydmarc.us,none,1,default,default,default,86400
_dmarc.foodpanda.pk.,DMARC1,none,default,mailto:d5ea1768a1c4993@rep.dmarcanalyzer.com,mailto:d5ea1768a1c4993@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.funcheap.com.,DMARC1,quarantine,default,mailto:60d3a629cece4@ag.dmarcly.com,mailto:60d3a629cece4@fo.dmarcly.com,none,0:1,default,default,default,default
_dmarc.fzautomotive.com.,DMARC1,none,default,mailto:dmarc@fzautomotive.com,default,default,default,default,default,default,default
_dmarc.gainspro.com.,DMARC1,quarantine,100,mailto:re+e9b799c0b8ca@inbound.dmarcdigests.com,default,quarantine,default,default,default,default,default
_dmarc.gcsnc.com.,DMARC1,quarantine,10,mailto:spoofedemails@gcsnc.com,mailto:spoofedemails@gcsnc.com,default,1,default,default,default,default
_dmarc.gemsociety.org.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.genscript.com.,DMARC1,none,default,mailto:84684050e204861@rep.dmarcanalyzer.com,mailto:84684050e204861@for.dmarcanalyzer.com,none,1,default,default,default,default
_dmarc.giant-bicycles.com.,DMARC1,reject,default,mailto:f9139b51f566745@rep.dmarcanalyzer.com,mailto:f9139b51f566745@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.gmail.cm.,DMARC1,reject,default,mailto:mailauth-reports@google.com,default,default,default,default,default,default,default
_dmarc.goauthentik.io.,DMARC1,quarantine,100,mailto:infrastructure+rua@goauthentik.io,mailto:infrastructure+ruf@goauthentik.io,quarantine,1,default,r,r,default
_dmarc.gograph.com.,DMARC1,none,default,mailto:dmarcreports@gograph.com,default,default,default,default,default,default,default
_dmarc.goodleap.com.,DMARC1,none,default,mailto:jo8azvin@ag.us.dmarcian.com,default,default,default,default,default,default,default
_dmarc.grangeinsurance.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.graphicmama.com.,DMARC1,quarantine,100,mailto:re+hecgdd4kyhs@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.grayshift.com.,DMARC1,none,default,mailto:uarfb8yi@ag.ca.dmarcian.com,default,default,default,default,default,default,default
_dmarc.greenmangaming.com.,DMARC1,quarantine,default,mailto:re+bw40khfkwl7@dmarc.postmarkapp.com,mailto:rejectedmail@greenmangaming.com,default,1,default,default,default,default
_dmarc.hacienda.gob.mx.,DMARC1,none,default,mailto:postmaster@hacienda.gob.mx,mailto:postmaster@hacienda.gob.mx,default,1,default,default,default,default
_dmarc.healthcareip.com.,DMARC1,none,default,mailto:hipnet@healthcareip.com,default,default,default,default,default,default,default
_dmarc.helloflex.com.,DMARC1,none,default,mailto:dmarc@inbound.flowmailer.net,mailto:dmarc@inbound.flowmailer.net,default,1,default,default,default,default
_dmarc.hga.com.,DMARC1,quarantine,default,mailto:RUA@hga.com,mailto:RUA@hga.com,quarantine,default,default,default,default,86400
_dmarc.higherlowergame.com.,DMARC1,reject,default,mailto:dmarcreports@in-the.cloud,mailto:dmarcreports@in-the.cloud,reject,0:1:d:s,default,s,s,default
_dmarc.hood.de.,DMARC1,none,default,mailto:dmarc@hood.de,default,default,default,default,default,default,default
_dmarc.host.bg.,DMARC1,none,default,mailto:chovjtse@ag.dmarcian.com,default,default,default,default,default,default,default
_dmarc.hsa.gov.sg.,DMARC1,reject,default,"mailto:gp6phfil@ag.au.dmarcian.com,"" ""mailto:HSA_IM_SECURITY@hsa.gov.sg",mailto:HSA_IM_SECURITY@hsa.gov.sg,default,1,default,default,default,default
