domain,v,p,pct,rua,ruf,sp,fo,rf,adkim,aspf,ri
_dmarc.sleh.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.sralab.org.,DMARC1,none,default,mailto:dmarc_agg@vali.email,mailto:dmarc@sralab.org,default,default,default,default,default,default
_dmarc.thesolesupplier.co.uk.,DMARC1,none,default,"mailto:DMARC@thesolesupplier.co.uk,mailto:dmarc_agg@vali.email",default,default,default,default,default,default,604800
_dmarc.transwestern.com.,DMARC1,none,default,mailto:15b4a5ff0663091@rep.dmarcanalyzer.com,mailto:15b4a5ff0663091@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.trendingpoliticsnews.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.v-key.com.,DMARC1,quarantine,100,default,default,default,default,afrf,r,r,default
_dmarc.affijet.com.,DMARC1,none,default,mailto:2b87262cb3f949b0ad1c40d3186728f7@dmarc-reports.cloudflare.net,default,default,default,default,default,default,default
_dmarc.aplusattendance.com.,DMARC1,none,100,mailto:re+ggqia1s5uix@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.aviary.com.,DMARC1,reject,100,mailto:adobe@rua.agari.com,mailto:adobe@ruf.agari.com,reject,1,default,default,default,default
_dmarc.bergfreunde.de.,DMARC1,reject,100,mailto:postmaster@bergfreunde.de,mailto:postmaster@bergfreunde.de,default,default,default,default,default,default
_dmarc.bmi.com.,DMARC1,quarantine,default,mailto:mailadmin@bmi.com,default,default,default,default,default,default,default
_dmarc.buoyhealth.com.,DMARC1,none,default,mailto:e8b46ccb6aeb010@rep.dmarcanalyzer.com,mailto:e8b46ccb6aeb010@for.dmarcanalyzer.com,none,1,default,default,default,default
_dmarc.coyuchi.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.craft.cloud.,DMARC1,none,100,mailto:re+08ddc0357496@inbound.dmarcdigests.com,default,none,default,default,default,default,default
_dmarc.cscfinancialonline.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.dost.gov.ph.,DMARC1,quarantine,default,mailto:admin@dost.gov.ph,mailto:admin@dost.gov.ph,default,1,default,default,default,default
_dmarc.efanniemae.com.,DMARC1,none,default,mailto:fanniemae@rua.agari.com,mailto:fanniemae@ruf.agari.com,default,1,default,default,default,default
_dmarc.europapress.es.,DMARC1,none,default,mailto:c0794a3aa22a824@rep.dmarcanalyzer.com,mailto:c0794a3aa22a824@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.ewebinar.com.,DMARC1,quarantine,100,default,default,default,default,default,default,default,default
_dmarc.fansale.de.,DMARC1,none,100,"mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc@eventim.com","mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc@eventim.com",default,1,default,default,default,default
_dmarc.filelist.io.,DMARC1,reject,default,default,default,default,default,default,default,default,default
_dmarc.fleetresponse.com.,DMARC1,reject,100,"mailto:7e8b6f07829f.a@dmarcinput.com,mailto:dmarcreports@fleetresponse.com","mailto:7e8b6f07829f.f@dmarcinput.com,mailto:dmarcfailures@fleetresponse.com",default,1,afrf,default,default,0
_dmarc.freerainbowtables.com.,DMARC1,reject,default,mailto:rua@freerainbowtables.com,mailto:ruf@freerainbowtables.com,default,d,default,default,default,default
_dmarc.galaxydigital.com.,DMARC1,none,25,mailto:dmarcreports@galaxydigital.com,default,default,default,default,default,default,default
_dmarc.ghacks.net.,DMARC1,quarantine,100,mailto:admin@ghacks.net,default,default,default,default,default,default,default
_dmarc.goalbookapp.com.,DMARC1,quarantine,100,"mailto:engineering@goalbookapp.com,mailto:dmarc_agg@vali.email",default,default,default,default,r,r,default
_dmarc.gov.wales.,DMARC1,quarantine,100,"mailto:dmarc-rua@dmarc.service.gov.uk,mailto:dmarc@gov.wales","mailto:dmarc-ruf@dmarc.service.gov.uk,mailto:dmarcforensic@gov.wales",quarantine,1,default,default,default,default
_dmarc.iciparisxl.lu.,DMARC1,reject,100,mailto:6fa39641@inbox.ondmarc.com,mailto:6fa39641@inbox.ondmarc.com,default,1,default,default,default,3600
_dmarc.infosec.exchange.,DMARC1,reject,100,mailto:postmaster@infosec.exchange,mailto:postmaster@infosec.exchange,default,default,default,default,default,default
_dmarc.kwtx.com.,DMARC1,reject,default,mailto:rua+kwtx.com@dmarc.barracudanetworks.com,mailto:ruf+kwtx.com@dmarc.barracudanetworks.com,default,1,default,default,default,default
_dmarc.leiting.com.,DMARC1,quarantine,default,mailto:terrace@leiting.com,default,default,default,default,default,default,default
_dmarc.mcw.edu.,DMARC1,quarantine,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.mentorcliq.com.,DMARC1,quarantine,default,mailto:mentorcliq+dmarc@mentorcliq.com,default,default,default,default,default,default,default
_dmarc.mercadolibre.com.uy.,DMARC1,reject,100,"mailto:dmarcrua@mercadolibre.com, mailto:mercadolibre@rua.netcraft.com, mailto:dmarc_agg@vali.email","mailto:dmarcruf@mercadolibre.com,mailto:mercadolibre@ruf.netcraft.com",default,default,afrf,s,r,default
_dmarc.neterra.net.,DMARC1,quarantine,5,mailto:postmaster@neterra.net,mailto:postmaster@neterra.net,default,default,default,default,default,default
_dmarc.nickelled.com.,DMARC1,quarantine,10,mailto:re+xawqaen9dor@dmarc.postmarkapp.com,default,none,default,default,r,r,default
_dmarc.ntv.ru.,DMARC1,none,default,mailto:adm-group@ntv.ru,default,default,default,default,default,default,default
_dmarc.onetravel.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.outsideinc.com.,DMARC1,reject,default,mailto:dmarc-reports@outsideinc.com,default,default,default,default,default,default,default
_dmarc.owens-minor.com.,DMARC1,none,default,"mailto:64498126dccb5@ag.dmarcly.com,mailto:dmarc_agg@vali.email",mailto:64498126dccb5@fo.dmarcly.com,none,1,default,default,default,default
_dmarc.panjiva.com.,DMARC1,reject,100,mailto:postmaster@panjiva.com,default,default,default,default,default,r,default
_dmarc.petrobras.com.br.,DMARC1,quarantine,default,mailto:mailauth-reports@petrobras.com.br,default,default,default,default,default,default,default
_dmarc.sfstandard.com.,DMARC1,quarantine,default,mailto:dev-dmarc@sfstandard.com,mailto:dev-dmarc@sfstandard.com,quarantine,1,afrf,r,r,default
_dmarc.sheets.new.,DMARC1,none,default,mailto:mailauth-reports@google.com,default,default,default,default,default,default,default
_dmarc.shoplc.com.,DMARC1,none,100,"mailto:itinfo@vglgroup.com,mailto:rua@godmarc.io","mailto:itinfo@vglgroup.com,mailto:ruf@godmarc.io",default,1,afrf,r,r,default
_dmarc.starknet.io.,DMARC1,reject,default,default,default,reject,default,default,default,s,default
_dmarc.stormgeo.com.,DMARC1,none,default,mailto:fbcde53d5e3b602@rep.dmarcanalyzer.com,mailto:fbcde53d5e3b602@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.sulzer.com.,DMARC1,reject,100,"mailto:kldnwik0@ag.eu.dmarcian.com, mailto:DMARC.Reporting@sulzer.com",default,default,default,default,default,default,default
_dmarc.sunyempire.edu.,DMARC1,quarantine,default,mailto:dmarc_rua@esc.edu,mailto:dmarc_ruf@esc.edu,quarantine,default,default,default,default,default
_dmarc.top.gg.,DMARC1,reject,default,mailto:fu9igrjt@fr.dmarcian.com,default,default,default,default,default,default,default
_dmarc.vikingcruises.com.,DMARC1,none,default,mailto:22a897a8ee4f969@rep.dmarcanalyzer.com,mailto:22a897a8ee4f969@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.voys.nl.,DMARC1,none,default,"mailto:5ec3982ee94641ca9647146bde5b0519@dmarc-reports.cloudflare.net,mailto:re+loeesg4ugsa@dmarc.postmarkapp.com",default,none,default,default,default,r,default
_dmarc.wingo.ch.,DMARC1,none,default,mailto:dmarcreports@wingo.ch,default,default,default,default,default,default,default
_dmarc.zerofox.com.,DMARC1,none,default,mailto:dmarc-8050151575@email-security.zerofox.com,mailto:dmarc-8050151575@email-security.zerofox.com,none,1,afrf,s,r,default
_dmarc.advsol.com.,DMARC1,quarantine,default,mailto:dmarc@advsol.com,default,default,default,default,default,default,default
_dmarc.childrensdayton.org.,DMARC1,none,default,mailto:uxh6fwaq@ag.us.dmarcian.com,default,default,default,default,default,default,default
_dmarc.collabrance.com.,DMARC1,reject,default,mailto:c40a632753d0907@rep.dmarcanalyzer.com,mailto:c40a632753d0907@for.dmarcanalyzer.com,reject,1,default,default,default,default
_dmarc.diki.pl.,DMARC1,reject,default,mailto:dmarc-reports@diki.pl,mailto:dmarc-reports@diki.pl,default,default,default,default,default,default
_dmarc.eastman.com.,DMARC1,reject,default,mailto:dmarc_agg@vali.email,mailto:emailreports@eastman.com,default,1,default,default,default,default
_dmarc.eboardsolutions.com.,DMARC1,none,50,mailto:accessibility@eboardsolutions.com,default,default,default,default,default,default,default
_dmarc.europcar.com.,DMARC1,none,default,mailto:dmarcreports@europcar.com,default,default,1,default,default,default,default
_dmarc.getdor.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.greeneking.co.uk.,DMARC1,reject,default,mailto:e1ca70668907527@rep.dmarcanalyzer.com,mailto:e1ca70668907527@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.gunsinternational.com.,DMARC1,quarantine,default,mailto:20a03cde@mxtoolbox.dmarc-report.com,mailto:20a03cde@forensics.dmarc-report.com,default,default,default,default,default,default
_dmarc.ibc.com.,DMARC1,none,default,mailto:4f75d1681154890@rep.dmarcanalyzer.com,mailto:4f75d1681154890@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.jam-software.de.,DMARC1,none,100,mailto:dmarc-aggregate@jam-software.de,mailto:dmarc-forensik@jam-software.de,default,default,default,r,r,default
_dmarc.jimmychoo.com.,DMARC1,none,default,mailto:dmarc-agg-report@jimmychoo.com,mailto:dmarc-forensic-report@jimmychoo.com,default,default,default,default,default,default
_dmarc.ly.com.,DMARC1,none,default,mailto:dmarc_report@qiye.163.com,mailto:dmarc@qiye.163.com,default,1,default,default,default,default
_dmarc.majorcineplex.com.,DMARC1,none,default,mailto:noreply@majorcineplex.com,mailto:noreply@majorcineplex.com,reject,default,default,r,s,default
_dmarc.marfeelcache.com.,DMARC1,none,default,mailto:dmarc@marfeel.com,default,none,default,default,default,default,default
_dmarc.mayerbrown.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.merci-app.com.,DMARC1,quarantine,default,mailto:dmarc@merci-app.com,default,default,default,default,default,default,default
_dmarc.pay.nl.,DMARC1,none,default,mailto:security@pay.nl,mailto:security@pay.nl,default,1,default,default,default,default
_dmarc.payschools.com.,default,default,default,default,default,default,default,default,default,default,default
_dmarc.rotogrinders.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.rtl.fr.,DMARC1,reject,default,mailto:m6@dr.dmarc.fr,mailto:m6@dr.dmarc.fr,reject,1,default,default,default,default
_dmarc.sagecre.com.,DMARC1,reject,100,mailto:sage@rua.agari.com,mailto:sage@ruf.agari.com,default,1,default,default,default,3600
_dmarc.smc3.com.,DMARC1,quarantine,default,mailto:dmarc@smc3dmarc.uriports.com,mailto:dmarc@smc3dmarc.uriports.com,default,1:d:s,default,default,default,default
_dmarc.switch.tv.,DMARC1,none,default,mailto:dmarc-reports@switch.tv,default,default,default,default,default,default,default
_dmarc.tanaza.com.,DMARC1,none,default,mailto:dmarc@tanaza.com,default,default,default,default,default,default,default
_dmarc.ticketmaster.de.,DMARC1,quarantine,default,"mailto:dmarc_agg@auth.returnpath.net,mailto:dmarc_agg@vali.email","mailto:dmarc_afrf@auth."" ""returnpath.net",default,1,default,default,default,default
_dmarc.wcax.com.,DMARC1,reject,default,mailto:rua+wcax.com@dmarc.barracudanetworks.com,mailto:ruf+wcax.com@dmarc.barracudanetworks.com,default,1,default,default,default,default
_dmarc.wtae.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.yiban.io.,DMARC1,none,default,mailto:dmarc_report@yiban.io,mailto:dmarc@yiban.io,default,default,default,default,default,default
_dmarc.yourbenefitsresources.com.,DMARC1,none,default,mailto:aon@rua.agari.com,mailto:aon@ruf.agari.com,default,1,default,default,default,3600
_dmarc.amazonlinux.com.,DMARC1,reject,default,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,default,default,default,default,default,default
_dmarc.bacardi.digital.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.board.com.,DMARC1,none,default,mailto:itoperations@board.com,mailto:itoperations@board.com,default,default,default,default,default,default
_dmarc.buddypress.org.,DMARC1,quarantine,100,mailto:0bqp2jnw@ag.dmarcian.com,mailto:0bqp2jnw@fr.dmarcian.com,default,default,default,default,default,default
_dmarc.butler.com.,DMARC1,quarantine,100,default,default,default,default,default,default,r,default
_dmarc.ca-payment-services.com.,DMARC1,reject,default,mailto:rua@dmarc.ca-gip.fr,default,reject,default,default,r,r,default
_dmarc.canarytechnologies.com.,DMARC1,none,default,"mailto:re+2c94d8434ba7@inbound.dmarcdigests.com,mailto:dmarc+canarytechnologies.com@inbound.axl.net",default,default,default,default,default,default,default
_dmarc.christiandior.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.companymileage.com.,DMARC1,reject,100,mailto:dmarc@companymileage.com,mailto:dmarc@companymileage.com,none,0,afrf,r,r,86400
_dmarc.dxdelivery.com.,DMARC1,reject,default,mailto:156cdf5e0adb438@rep.dmarcanalyzer.com,mailto:156cdf5e0adb438@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.excelsior.edu.,DMARC1,none,default,"mailto:dmarc-reports@excelsior.edu,mailto:dmarc-reporting@integration.excelsior.edu","mailto:dmarc-reports@excelsior.edu,mailto:dmarc-reporting@integration.excelsior.edu",default,default,default,default,default,default
_dmarc.firsthive.com.,DMARC1,none,default,mailto:admin@firsthive.com,default,default,default,default,default,default,default
_dmarc.fox5ny.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.gbmc.org.,DMARC1,reject,default,mailto:32a146103ded597@rep.dmarcanalyzer.com,mailto:32a146103ded597@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.geha.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.group-ib.ru.,DMARC1,reject,default,mailto:dmarc_rua@group-ib.tech,mailto:dmarc_ruf@group-ib.tech,reject,1,default,r,r,default
_dmarc.imageboss.me.,DMARC1,reject,100,default,default,default,default,default,default,default,default
_dmarc.jamaicaobserver.com.,DMARC1,reject,100,mailto:dmarc@jamaicaobserver.com,mailto:dmarc@jamaicaobserver.com,default,default,default,r,r,default
_dmarc.jobtarget.com.,DMARC1,reject,100,"mailto:dmarc-rua@jobtarget.com,mailto:e4de473165@rua.easydmarc.us","mailto:dmarc-ruf@jobtarget.com,mailto:e4de473165@ruf.easydmarc.us",default,0,default,r,r,default
_dmarc.linio.com.,DMARC1,none,100,mailto:re+oaneywhracn@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.mdc53.com.,DMARC1,reject,default,mailto:f8091fac974f992@rep.dmarcanalyzer.com,mailto:f8091fac974f992@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.medtechsolutions.com.,DMARC1,quarantine,default,mailto:rua+DMARC_Aggregate_Report@alerts.medtechsolutions.com,mailto:ruf+DMARC_Aggregate_Report@alerts.medtechsolutions.com,default,1,default,default,default,default
_dmarc.mlsd.gov.sa.,DMARC1,reject,100,"mailto:haseen@rua.dmarc.gov.sa,mailto:SOC_Notification@hrsd.gov.sa","mailto:haseen@ruf.dmarc.gov.sa,mailto:SOC_Notification@hrsd.gov.sa",default,1,default,default,default,default
_dmarc.movieinsider.com.,DMARC1,reject,default,"mailto:ad7a8aa418@rua.easydmarc.us,mailto:sysadmin@movieinsider.com","mailto:ad7a8aa418@ruf.easydmarc.us,mailto:sysadmin@movieinsider.com",none,1,default,s,s,86400
_dmarc.nslookup.io.,DMARC1,reject,100,"mailto:857acf60@inbox.ondmarc.com,mailto:dmarc@mailinblue.com!10m","mailto:857acf60@inbox.ondmarc.com,mailto:dmarc@mailinblue.com!10m",reject,1,default,s,s,3600
_dmarc.ouhsc.edu.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.ownerly.com.,DMARC1,quarantine,100,mailto:dmarc_agg@dmarc.250ok.net,mailto:dmarc_fr@dmarc.250ok.net,default,1,afrf,default,default,default
_dmarc.pepperidgefarm.com.,DMARC1,reject,100,mailto:DMARC@pepperidgefarm.com,mailto:DMARCForensics@pepperidgefarm.com,default,default,default,default,default,default
_dmarc.programworkshop.com.,DMARC1,quarantine,25,mailto:dmarc_notify@programworkshop.com,default,default,default,default,default,default,default
_dmarc.runnr.in.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.skedulo.com.,DMARC1,none,default,mailto:mailadmin@skedulo.com,default,default,default,default,default,default,default
_dmarc.speakap.com.,DMARC1,none,default,mailto:49d5f41b99@rua.easydmarc.eu,mailto:49d5f41b99@ruf.easydmarc.eu,default,1,default,default,default,default
_dmarc.talktalkgroup.com.,DMARC1,reject,100,"mailto:1cf493e1@inbox.ondmarc.com,mailto:xmjbvred@ag.dmarcian-eu.com","mailto:1cf493e1@inbox.ondmarc.com,mailto:xmjbvred@fr.dmarcian-eu.com",default,1,default,default,default,3600
_dmarc.tmj4.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.trupanion.com.,DMARC1,none,default,mailto:6287ca44ba1f0@ag.dmarcly.com,mailto:6287ca44ba1f0@fo.dmarcly.com,none,1,default,default,default,default
_dmarc.ttrus.com.,DMARC1,quarantine,100,mailto:noc@ttrus.com,mailto:noc@ttrus.com,none,default,default,default,default,14400
_dmarc.unirioja.es.,DMARC1,reject,default,default,default,default,default,default,default,default,default
_dmarc.wellpath.us.,DMARC1,none,default,mailto:dmarc@wellpath.us,mailto:dmarc@wellpath.us,default,1,default,default,default,default
_dmarc.wrestlingnews365.com.,DMARC1,none,default,mailto:78c69174d2a141bcaf6d57808fdb35b2@dmarc-reports.cloudflare.net,default,default,default,default,default,default,default
_dmarc.zoetis.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.adc4gis.com.,DMARC1,reject,default,mailto:dmarc_rua@adc4gis.com,default,default,default,default,s,s,default
